iter	Passed	Remaining
0	43	4303
1	89	4409
2	136	4427
3	179	4312
4	225	4275
5	268	4213
6	331	4409
7	379	4361
8	425	4303
9	472	4255
10	542	4386
11	628	4612
12	885	5923
13	1028	6317
14	1075	6097
15	1120	5881
16	1177	5750
17	1234	5626
18	1301	5547
19	1351	5407
20	1404	5283
21	1452	5149
22	1507	5047
23	1558	4934
24	1599	4798
25	1642	4674
26	1682	4547
27	1736	4464
28	1783	4366
29	1827	4264
30	1876	4176
31	1927	4094
32	1964	3989
33	2011	3904
34	2050	3807
35	2097	3729
36	2163	3683
37	2227	3634
38	2298	3594
39	2402	3603
40	2472	3558
41	2530	3493
42	2582	3423
43	2639	3359
44	2711	3313
45	2859	3356
46	2962	3340
47	3044	3298
48	3113	3240
49	3181	3181
50	3243	3116
51	3343	3086
52	3388	3004
53	3450	2938
54	3529	2888
55	3643	2863
56	3742	2823
57	3802	2753
58	3860	2682
59	3905	2603
60	3943	2521
61	3990	2445
62	4026	2364
63	4075	2292
64	4111	2213
65	4158	2142
66	4223	2080
67	4325	2035
68	4471	2008
69	4578	1962
70	4656	1901
71	4727	1838
72	4811	1779
73	4881	1715
74	4930	1643
75	4993	1576
76	5053	1509
77	5101	1438
78	5155	1370
79	5259	1314
80	5356	1256
81	5413	1188
82	5457	1117
83	5508	1049
84	5557	980
85	5606	912
86	5654	844
87	5706	778
88	5773	713
89	5871	652
90	5974	590
91	6077	528
92	6132	461
93	6177	394
94	6214	327
95	6259	260
96	6325	195
97	6376	130
98	6424	64
99	6491	0
